"IP","SoftwareVersion","UUID","Uptime","batteries__Voltage","batteries__Wear","batteries__current","batteries__id","batteries__microswitch","batteries__present","batteries__rgb","batteries__solenoid","batteries__temp","batteries__uuid","id","date"
"","","","","3663.60009765625","0","164.2857208251953","3","True","True","0","False","47.36070251464844","45067","",""
"","","","","3572.39990234375","0","3.5714285373687744","4","True","True","0","False","32.69794845581055","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84024848","3736.800048828125","0","257.1428527832031","0","True","True","0","False","36.07038116455078","3735928559","1676377979483","1676377979483"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3778.800048828125","0","485.71429443359375","3","True","True","0","False","52.49266815185547","45067","",""
"","","","","3590.39990234375","0","35.71428680419922","4","True","True","0","False","34.164222717285156","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84039867","3787.199951171875","0","382.1428527832031","0","True","True","0","False","38.709678649902344","3735928559","1676377994552","1676377994552"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3830.39990234375","0","617.8571166992188","3","True","True","0","False","53.07917785644531","45067","",""
"","","","","3618","0","100","4","True","True","0","False","35.04398727416992","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84054963","3793.199951171875","0","378.5714416503906","0","True","True","0","False","39.88269805908203","3735928559","1676378009536","1676378009536"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3834","0","617.8571166992188","3","True","True","0","False","56.30498504638672","45067","",""
"","","","","3614.39990234375","0","82.14286041259766","4","True","True","0","False","35.48387145996094","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84070162","3798","0","378.5714416503906","0","True","True","0","False","40.61583709716797","3735928559","1676378024733","1676378024733"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3836.39990234375","0","614.2857055664062","3","True","True","0","False","55.42522048950195","45067","",""
"","","","","3615.60009765625","0","82.14286041259766","4","True","True","0","False","35.77712631225586","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84085361","3799.199951171875","0","375","0","True","True","0","False","41.935482025146484","3735928559","1676378039933","1676378039933"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3837.60009765625","0","614.2857055664062","3","True","True","0","False","56.45161437988281","45067","",""
"","","","","3614.39990234375","0","75","4","True","True","0","False","35.77712631225586","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84100560","3804","0","382.1428527832031","0","True","True","0","False","42.66862106323242","3735928559","1676378055131","1676378055131"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3842.39990234375","0","625","3","True","True","0","False","57.91788864135742","45067","",""
"","","","","3614.39990234375","0","71.42857360839844","4","True","True","0","False","36.07038116455078","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84115759","3806.39990234375","0","378.5714416503906","0","True","True","0","False","43.10850524902344","3735928559","1676378070332","1676378070332"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3840","0","614.2857055664062","3","True","True","0","False","56.30498504638672","45067","",""
"","","","","3614.39990234375","0","67.85713958740234","4","True","True","0","False","36.217010498046875","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84130880","3808.800048828125","0","382.1428527832031","0","True","True","0","False","43.69501495361328","3735928559","1676378085452","1676378085452"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3842.39990234375","0","614.2857055664062","3","True","True","0","False","58.94428253173828","45067","",""
"","","","","3616.800048828125","0","75","4","True","True","0","False","36.3636360168457","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84146079","3810","0","378.5714416503906","0","True","True","0","False","44.281524658203125","3735928559","1676378100653","1676378100653"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3842.39990234375","0","610.7142944335938","3","True","True","0","False","57.6246337890625","45067","",""
"","","","","3618","0","71.42857360839844","4","True","True","0","False","36.3636360168457","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84161280","3811.199951171875","0","378.5714416503906","0","True","True","0","False","44.57477951049805","3735928559","1676378115884","1676378115884"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3842.39990234375","0","610.7142944335938","3","True","True","0","False","58.504398345947266","45067","",""
"","","","","3621.60009765625","0","78.57142639160156","4","True","True","0","False","36.80352020263672","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84176479","3811.199951171875","0","378.5714416503906","0","True","True","0","False","44.86803436279297","3735928559","1676378131052","1676378131052"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3844.800048828125","0","614.2857055664062","3","True","True","0","False","59.530792236328125","45067","",""
"","","","","3624","0","85.71428680419922","4","True","True","0","False","36.95014572143555","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84191678","3811.199951171875","0","371.4285583496094","0","True","True","0","False","45.16128921508789","3735928559","1676378146251","1676378146251"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3844.800048828125","0","610.7142944335938","3","True","True","0","False","58.064517974853516","45067","",""
"","","","","3628.800048828125","0","92.85713958740234","4","True","True","0","False","37.09677505493164","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84206879","3814.800048828125","0","378.5714416503906","0","True","True","0","False","45.45454406738281","3735928559","1676378161552","1676378161552"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3846","0","610.7142944335938","3","True","True","0","False","60.850440979003906","45067","",""
"","","","","3630","0","92.85713958740234","4","True","True","0","False","37.24340057373047","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84222078","3814.800048828125","0","371.4285583496094","0","True","True","0","False","45.747798919677734","3735928559","1676378176707","1676378176707"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3842.39990234375","0","596.4285888671875","3","True","True","0","False","59.09090805053711","45067","",""
"","","","","3631.199951171875","0","96.42857360839844","4","True","True","0","False","37.683284759521484","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84237276","3816","0","378.5714416503906","0","True","True","0","False","46.04105758666992","3735928559","1676378191968","1676378191968"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3843.60009765625","0","600","3","True","True","0","False","59.530792236328125","45067","",""
"","","","","3630","0","92.85713958740234","4","True","True","0","False","37.683284759521484","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84252475","3817.199951171875","0","375","0","True","True","0","False","46.18768310546875","3735928559","1676378207049","1676378207049"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3847.199951171875","0","607.1428833007812","3","True","True","0","False","60.41055679321289","45067","",""
"","","","","3630","0","89.28571319580078","4","True","True","0","False","37.683284759521484","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84267673","3817.199951171875","0","371.4285583496094","0","True","True","0","False","46.334312438964844","3735928559","1676378222599","1676378222599"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3846","0","603.5714111328125","3","True","True","0","False","58.94428253173828","45067","",""
"","","","","3631.199951171875","0","89.28571319580078","4","True","True","0","False","37.976539611816406","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84282873","3817.199951171875","0","371.4285583496094","0","True","True","0","False","46.334312438964844","3735928559","1676378237534","1676378237534"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3846","0","603.5714111328125","3","True","True","0","False","61.14369583129883","45067","",""
"","","","","3632.39990234375","0","89.28571319580078","4","True","True","0","False","37.82991027832031","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84298072","3817.199951171875","0","367.8571472167969","0","True","True","0","False","46.334312438964844","3735928559","1676378252691","1676378252691"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3843.60009765625","0","592.8571166992188","3","True","True","0","False","59.38416290283203","45067","",""
"","","","","3633.60009765625","0","92.85713958740234","4","True","True","0","False","37.82991027832031","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84313271","3819.60009765625","0","371.4285583496094","0","True","True","0","False","46.774192810058594","3735928559","1676378267949","1676378267949"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3844.800048828125","0","596.4285888671875","3","True","True","0","False","60.11730194091797","45067","",""
"","","","","3632.39990234375","0","85.71428680419922","4","True","True","0","False","38.1231689453125","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84328470","3820.800048828125","0","371.4285583496094","0","True","True","0","False","47.067447662353516","3735928559","1676378283103","1676378283103"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3844.800048828125","0","592.8571166992188","3","True","True","0","False","60.997066497802734","45067","",""
"","","","","3634.800048828125","0","92.85713958740234","4","True","True","0","False","38.26979446411133","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84343669","3822","0","371.4285583496094","0","True","True","0","False","46.92082214355469","3735928559","1676378298360","1676378298360"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3847.199951171875","0","596.4285888671875","3","True","True","0","False","59.09090805053711","45067","",""
"","","","","3634.800048828125","0","92.85713958740234","4","True","True","0","False","38.26979446411133","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84358838","3822","0","367.8571472167969","0","True","True","0","False","47.21407699584961","3735928559","1676378313518","1676378313518"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3847.199951171875","0","596.4285888671875","3","True","True","0","False","61.73020553588867","45067","",""
"","","","","3636","0","92.85713958740234","4","True","True","0","False","38.41642379760742","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84374037","3822","0","367.8571472167969","0","True","True","0","False","47.067447662353516","3735928559","1676378328671","1676378328671"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3846","0","589.2857055664062","3","True","True","0","False","59.67741775512695","45067","",""
"","","","","3636","0","92.85713958740234","4","True","True","0","False","38.41642379760742","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84389236","3823.199951171875","0","371.4285583496094","0","True","True","0","False","47.36070251464844","3735928559","1676378343813","1676378343813"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3847.199951171875","0","592.8571166992188","3","True","True","0","False","60.850440979003906","45067","",""
"","","","","3637.199951171875","0","89.28571319580078","4","True","True","0","False","38.41642379760742","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84404436","3825.60009765625","0","371.4285583496094","0","True","True","0","False","47.36070251464844","3735928559","1676378359188","1676378359188"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3847.199951171875","0","592.8571166992188","3","True","True","0","False","60.997066497802734","45067","",""
"","","","","3639.60009765625","0","96.42857360839844","4","True","True","0","False","38.41642379760742","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84419636","3825.60009765625","0","371.4285583496094","0","True","True","0","False","47.65395736694336","3735928559","1676378374239","1676378374239"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3850.800048828125","0","596.4285888671875","3","True","True","0","False","59.38416290283203","45067","",""
"","","","","3642","0","103.57142639160156","4","True","True","0","False","38.56304931640625","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84434836","3825.60009765625","0","367.8571472167969","0","True","True","0","False","47.36070251464844","3735928559","1676378389498","1676378389498"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3852","0","596.4285888671875","3","True","True","0","False","61.58357620239258","45067","",""
"","","","","3642","0","96.42857360839844","4","True","True","0","False","38.85630416870117","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84450035","3829.199951171875","0","375","0","True","True","0","False","47.65395736694336","3735928559","1676378404653","1676378404653"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3853.199951171875","0","600","3","True","True","0","False","59.970672607421875","45067","",""
"","","","","3640.800048828125","0","92.85713958740234","4","True","True","0","False","38.85630416870117","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84465234","3830.39990234375","0","378.5714416503906","0","True","True","0","False","47.65395736694336","3735928559","1676378419914","1676378419914"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3853.199951171875","0","607.1428833007812","3","True","True","0","False","61.14369583129883","45067","",""
"","","","","3639.60009765625","0","89.28571319580078","4","True","True","0","False","38.85630416870117","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84480434","3830.39990234375","0","375","0","True","True","0","False","47.94721221923828","3735928559","1676378435013","1676378435013"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3852","0","592.8571166992188","3","True","True","0","False","61.14369583129883","45067","",""
"","","","","3638.39990234375","0","85.71428680419922","4","True","True","0","False","38.85630416870117","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84495634","3830.39990234375","0","371.4285583496094","0","True","True","0","False","47.80058670043945","3735928559","1676378450426","1676378450426"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3852","0","592.8571166992188","3","True","True","0","False","59.2375373840332","45067","",""
"","","","","3639.60009765625","0","89.28571319580078","4","True","True","0","False","38.85630416870117","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84510834","3830.39990234375","0","371.4285583496094","0","True","True","0","False","48.093841552734375","3735928559","1676378465486","1676378465486"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3855.60009765625","0","600","3","True","True","0","False","61.8768310546875","45067","",""
"","","","","3638.39990234375","0","85.71428680419922","4","True","True","0","False","39.002933502197266","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84526035","3832.800048828125","0","375","0","True","True","0","False","47.94721221923828","3735928559","1676378480738","1676378480738"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3855.60009765625","0","600","3","True","True","0","False","60.11730194091797","45067","",""
"","","","","3639.60009765625","0","82.14286041259766","4","True","True","0","False","38.85630416870117","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84541236","3834","0","375","0","True","True","0","False","48.093841552734375","3735928559","1676378495892","1676378495892"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3856.800048828125","0","600","3","True","True","0","False","60.850440979003906","45067","",""
"","","","","3639.60009765625","0","82.14286041259766","4","True","True","0","False","38.56304931640625","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84556435","3835.199951171875","0","375","0","True","True","0","False","48.24047088623047","3735928559","1676378511049","1676378511049"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3856.800048828125","0","596.4285888671875","3","True","True","0","False","61.73020553588867","45067","",""
"","","","","3639.60009765625","0","85.71428680419922","4","True","True","0","False","38.709678649902344","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84571636","3836.39990234375","0","378.5714416503906","0","True","True","0","False","48.093841552734375","3735928559","1676378526305","1676378526305"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
